,Name,Score,Studios,Source,Ranked,Popularity,Completed
12217,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.85,Telecom Animation Film,Manga,743,3267,12502
12219,Idol Jihen,5.68,"MAPPA, Studio VOLN",Original,9195,4543,3859
12221,King of Prism: Pride the Hero,6.85,Tatsunoko Production,Original,4247,7449,1018
12222,Pokemon Sun & Moon,6.84,OLM,Game,4282,1862,23167
12223,Detective Conan: Episode One - The Great Detective Turned Small,8.27,TMS Entertainment,Manga,245,3470,15298
12228,Tonari no Onigiri-kun,5.27,Studio Ghibli,Original,10210,10919,406
12229,Akiba's Trip The Animation,6.55,Gonzo,Game,5605,1274,55391
12230,100% Pascal-sensei (TV),5.72,OLM,Manga,9080,8585,673
12231,Berserk 2nd Season,6.69,"Millepensee, GEMBA",Manga,4956,1194,85329
12233,Uchouten Kazoku 2,8.13,P.A. Works,Novel,380,2229,25917
12234,Cardfight!! Vanguard G: Next,6.59,OLM,Card game,5435,5662,3642
12237,Sakura Nagashi,7.03,Khara,Original,3521,6454,4039
12238,Tales of Zestiria the Cross 2nd Season,7.35,ufotable,Game,2108,1144,81511
12239,Chiruran: Nibun no Ichi,5.67,LandQ studios,Manga,9230,5728,3540
12242,Gintama.,8.99,Bandai Namco Pictures,Manga,12,730,115105
12243,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,7.98,SILVER LINK.,Manga,557,1903,37712
12244,Sakurada Reset,7.37,David Production,Light novel,2014,1229,33611
12245,Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,7.54,Lerche,Game,1442,1121,106889
12246,Knight's & Magic,7.13,8bit,Light novel,3094,840,116155
12247,Kyoukai no Rinne (TV) 3rd Season,7.07,Brain's Base,Manga,3337,3756,7924
12261,High School Fleet OVA,7.21,Production IMS,Original,2740,4051,9630
12262,Rewrite 2nd Season,7.26,8bit,Visual novel,2543,1512,54425
12264,One Punch Man 2nd Season,7.41,J.C.Staff,Web manga,1874,70,666395
12265,Orange: Mirai,7.44,Telecom Animation Film,Manga,1774,1533,42492
12267,Nyanko Days,6.61,EMT Squared,4-koma manga,5329,2108,34779
12269,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,7.19,Lerche,Original,2805,1804,53227
12272,Overlord Movie 1: Fushisha no Ou,7.62,Madhouse,Light novel,1210,2051,28577
12281,Zero kara Hajimeru Mahou no Sho,7.1,White Fox,Light novel,3226,731,121613
12282,Tenshi no 3P!,6.66,Project No.9,Light novel,5106,2261,22182
12284,Ima no Watashi ni Dekiru Koto...,5.77,TYO Animations,Original,8945,11405,283
12298,"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori OVA",6.21,"TMS Entertainment, Shin-Ei Animation",Original,7317,6018,1225
12301,Hibike! Euphonium 2 Specials,6.68,Kyoto Animation,Original,4990,4144,7967
12304,Escha Chron,6.47,Lerche,Other,6065,5834,1992
12305,Meiji Tokyo Renka,6.93,TMS Entertainment,Visual novel,3913,2869,14780
12306,Getsuyoubi no Tawawa,6.44,Pine Jam,Other,6241,1769,35391
12318,Osomatsu-san: Ouma de Kobanashi,7.27,Studio Pierrot,Manga,2461,5446,5747
12319,Mutsugo to Ouma no Monogatari,6.23,Studio Pierrot,Manga,7236,8687,677
12320,Shelter,8.34,A-1 Pictures,Music,195,539,234951
12322,Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri,6.82,Shin-Ei Animation,Manga,4365,9366,956
12326,Star Beat!: Hoshi no Kodou,6.82,"Xebec, Issen",Original,4372,8545,1590
12327,Cinderella Girls Gekijou,6.54,"Gathering, Lesprit",4-koma manga,5663,4175,6424
12331,Oushitsu Kyoushi Heine,7.47,Bridge,Manga,1682,1361,59408
12334,"New Game!: Watashi, Shain Ryokou tte Hajimete nano de...",7.41,Doga Kobo,4-koma manga,1871,1992,41582
12335,Grancrest Senki,7.25,A-1 Pictures,Light novel,2571,698,100552
12336,Gamers!,6.92,Pine Jam,Light novel,3925,283,313233
12337,High School DxD Hero,7.28,Passione,Light novel,2420,453,202846
12339,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,7.64,Studio Gokumi,Light novel,1187,2831,14852
12341,Schoolgirl Strikers: Animation Channel,5.72,J.C.Staff,Game,9084,3867,5081
12342,Kirakira☆Precure A La Mode,6.92,Toei Animation,Original,3938,5316,2780
12343,Kamigami no Ki,5.97,Sotsu,Original,8322,11392,138
12344,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,6.11,Seven,4-koma manga,7760,5268,4797
12345,Digimon Adventure tri. 4: Soushitsu,7.34,Toei Animation,Original,2143,2353,36179
12346,Quanzhi Fashi,7.29,Shanghai Foch Film Culture Investment,Novel,2370,1594,55523
12347,Precure Dream Stars! Movie,6.81,Toei Animation,Original,4412,8300,1273
12348,PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,6.75,Tatsunoko Production,Game,4660,9956,508
12357,Fate/Grand Order: First Order,6.78,Lay-duce,Game,4538,1071,106944
12359,Chiryokumaru,5.17,Studio 4°C,Original,10384,8821,1442
12360,Pokemon XY&Z Specials,7.02,OLM,Game,3579,5637,5537
12362,Hulaing Babies,5.88,Gaina,Original,8583,7568,1216
12364,Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,6.26,"TMS Entertainment, Jinnis Animation Studios",Game,7089,5579,3600
12365,Lost Song,7.01,"Dwango, LIDENFILMS",Original,3622,2913,16807
12370,Diamond no Ace: Second Season OVA,7.59,"Production I.G, Madhouse",Manga,1310,5358,5118
12371,Alice to Zouroku,7.12,J.C.Staff,Manga,3116,1410,45954
12380,Long Riders! Recap,5.71,Actas,Manga,9131,9854,638
12381,Vatican Kiseki Chousakan,6.39,J.C.Staff,Novel,6449,2520,15455
12387,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,7.54,Studio Gokumi,Light novel,1448,4635,5553
